categoria,codigo_de_vehiculo,tipo_transaccion,marca,modelo,pais,ano_modelo,clase,sub_clase,tipo,avaluo,fecha_proceso,tipo_servicio,cilindraje,tipo_combustible,fecha_compra,canton,color_1,color_2,persona_natural__juridica,provincia
104526,10445348,IMPORTACI?N DIRECTA,JEEP,WRANGLER UNLIMITED AC 2.0 5P 4X4 TA HYBRID,ESTADOS UNIDOS,2022,JEEP,HIBRIDO-J,LIVIANO,20961.18,2025-12-11,PAR,2000,GASOLINA,2025-12-08,PUCARA,PLO,PLO,NATURAL,PUCARA
104514,10458926,COMPRA LOCAL,AUDI,A3 SPORTBACK 8YFACW AC 1.4 5P 4X2 TA,ALEMANIA,2026,AUTOMOVIL,STATION WAGON,LIVIANO,39990.0,2025-12-26,PAR,1395,GASOLINA,2025-12-22,GUAYAQUIL,PLO,PLO,NATURAL,GUAYAQUIL
104514,10206368,COMPRA LOCAL,HINO,AK8JRSA CON RETARD AC 7.7 1P 4X2 TM DIESEL,JAPON,2026,OMNIBUS,BUS,PESADO,47255.14,2025-11-14,ALQ,7684,DIESEL,2025-11-10,AMBATO,ANA,BLA,NATURAL,AMBATO
104513,10476617,IMPORTACI?N DIRECTA,JEEP,WRANGLER RUBICON AC 3.6 5P 4X4 TA,ESTADOS UNIDOS,2022,JEEP,JEEP,LIVIANO,15947.42,2025-12-24,PAR,3600,GASOLINA,2025-12-15,CUENCA,ROJ,ROJ,NATURAL,CUENCA
104512,10437458,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-31,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-31,QUITO,VRD,,NATURAL,QUITO
104512,10437453,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-23,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-23,QUITO,VRD,,NATURAL,QUITO
104512,10437455,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-23,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-23,SAN MIGUEL DE LOS BANCOS,VRD,VRD,NATURAL,SAN MIGUEL DE LOS BANCOS
104512,10437462,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-23,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-23,GUAYAQUIL,AZU,AZU,NATURAL,GUAYAQUIL
104512,10437437,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-23,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-20,SAN MIGUEL DE LOS BANCOS,PLA,PLA,NATURAL,SAN MIGUEL DE LOS BANCOS
104512,10437456,COMPRA LOCAL,DFSK,E5 PLUS PHEV AC 1.5 5P 4X2 TA HYBRID,CHINA POPULAR,2026,JEEP,HIBRIDO-J,LIVIANO,29990.0,2025-12-18,PAR,1499,HIBRIDO_GASOLINA_BATERIAS,2025-12-18,GUAYAQUIL,VRD,VRD,NATURAL,GUAYAQUIL
