AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|10|P|IMBABURA|IBARRA|187702,4600|2752120,0200|0,0000|0,0000|3973,0000|814548,2800|343666,9600|0,0000|109600,0500|1277954,6500|2943795,4800
2025|10|H|MANABI|CHONE|877363,8800|2460596,2700|0,0000|0,0000|0,0000|1067197,3200|1541487,0800|40,3500|56991,4300|2665716,1800|3337960,1500
2025|10|Q|LOJA|PUYANGO|5451,7900|24434,2400|0,0000|0,0000|0,0000|14285,0500|22770,9100|0,0000|551,4000|37607,3600|29886,0300
2025|10|M|CAÑAR|BIBLIAN|187191,0800|75988,5800|0,0000|0,0000|0,0000|150822,7400|42079,2600|103,4000|636,0000|206550,5000|263179,6600
2025|10|L|CHIMBORAZO|PALLATANGA|4743,8600|0,0000|0,0000|0,0000|0,0000|3302,9400|3043,0000|0,0000|0,0000|6345,9400|4743,8600
2025|10|G|EL ORO|PASAJE|5725117,1500|9818185,6600|0,0000|819368,6200|3010562,7100|6585618,3900|10966695,8700|94946,0200|551998,7200|18807435,1100|19373234,1400
2025|10|G|MANABI|CHONE|6082331,4500|8782489,5400|0,0000|186025,6900|0,0000|6897222,1000|7216622,0400|75371,0700|54796,2000|14365215,6900|15050846,6800
2025|10|F|CAÑAR|CAÑAR|651452,0800|42674,0000|0,0000|0,0000|0,0000|211101,3300|80973,7100|0,0000|18315,0000|327103,2000|694126,0800
2025|10|N|ZAMORA CHINCHIPE|EL PANGUI|180286,9200|71604,6400|302,5600|30182,1200|0,0000|240388,7400|54319,4000|0,0000|2438,7800|300081,6300|282376,2400
2025|10|E|PICHINCHA|RUMIÑAHUI|683532,6000|3854,9800|0,0000|2388,3000|0,0000|607483,4800|168880,6100|0,0000|1336,5400|779335,0400|689775,8800
2025|10|G|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|5331781,4200|5969594,0200|0,0000|315528,9700|1601766,1500|5605879,1100|6872359,9600|168994,7100|294465,5000|13253206,0600|13218670,5600
2025|10|H|ESMERALDAS|ESMERALDAS|3313402,6400|71316944,6300|0,0000|0,0000|250,0000|3116860,9100|36192092,5700|297,0200|37816,0600|39347532,4000|74630597,2700
2025|10|M|MORONA SANTIAGO|TAISHA|340434,5900|0,0000|0,0000|19400,0000|0,0000|212568,2000|10901,9500|0,0000|25943,0000|250869,1700|359834,5900
2025|10|M|PICHINCHA|RUMIÑAHUI|6005378,8500|1092473,8300|0,0000|5974,7900|181666,8100|3525461,7800|1185843,2400|82671,2200|153831,3700|5047671,1600|7285494,2800
2025|10|C|NAPO|EL CHACO|12257,3300|26750,7300|0,0000|0,0000|0,0000|40704,4600|24442,8300|0,0000|0,0000|65147,2900|39008,0600
2025|10|C|GUAYAS|SAMBORONDON|6368993,0200|17476165,5000|13144,5300|725829,4400|5613496,2300|10813631,9900|9609866,2300|4433765,7900|170678,7000|25590379,9200|30197628,7200
2025|10|G|SUCUMBIOS|LAGO AGRIO|18666698,9700|8594980,7100|100,0000|1629467,2400|30,0000|19501436,4500|8677083,0300|448553,1100|209668,9400|30101787,2200|28891276,9200
2025|10|G|TUNGURAHUA|BAÑOS DE AGUA SANTA|1638139,7600|983289,0200|0,0000|300487,3600|0,0000|1713120,0300|769960,6600|117,4000|31333,7600|2733369,8800|2921916,1400
2025|10|A|PICHINCHA|MEJIA|221604,2800|5486939,0100|0,0000|131,6800|4576853,4800|1876378,6400|5056184,4700|140858,2300|80404,5400|7168464,0700|10285528,4500
2025|10|P|TUNGURAHUA|QUERO|2533,3900|26256,0000|0,0000|0,0000|0,0000|4903,5200|160,3100|0,0000|0,0000|5063,8300|28789,3900
2025|10|F|LOJA|QUILANGA|119821,1100|0,0000|0,0000|0,0000|0,0000|94193,0100|1802,3400|0,0000|4849,4100|101842,4600|119821,1100
2025|10|G|TUNGURAHUA|TISALEO|1305173,3000|392089,8600|0,0000|214673,7600|1683,1900|1455898,6100|508689,4400|537,3700|3578,2500|2165366,7400|1913620,1100
